time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-07-21 14:33:11,0,0,0,,,60.131533092188,0,0,0,0,11,2,0,60.131533092188,0,0,0,0,0,0,196.3, 6.1, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,0,74.3,60.131533092188,0,41,Motors_Started,"No GPS. Fly with caution Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059). No GPS signal. Aircraft unable to hover. Fly with caution (Code: 30008). GPS signal weak. Hovering unstable. Fly with caution (Code: 30002). Aircraft not in flight"
200,2023-07-21 14:33:11,0,0,0,,,60.131533092188,0,0,0,0,11,2,0,60.131533092188,0,0,0,0,0,0,196.3, 6.1, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,0,74.3,60.131533092188,0,41,Motors_Started,
400,2023-07-21 14:33:11,0,0,0,,,60.131533092188,0,0,0,0,11,2,0,60.131533092188,0,0,0,0,0,0,196.2, 6.1, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,0,74.3,60.131533092188,0,41,Motors_Started,"Setting new Return-To-Home altitude to 26m (85 ft). Data Recorder File Index is 69. Setting new Maximum Flight Altitude to 30m (98 ft)"
600,2023-07-21 14:33:11,0,0,0,,,60.131533092188,0,0,0,0,12,2,0,60.131533092188,0,0,0,0,0,0,196.3, 6.1, -0.5,0,0,1024,1024,1121,1024,0,0,15,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,0,74.3,60.131533092188,0,41,Motors_Started,
800,2023-07-21 14:33:12,0,0,0,,,60.131533092188,0,0,0,0,12,2,0,60.131533092188,0,0,0,0,0,0,196.3, 6.2, -0.5,0,0,1024,1024,1155,1024,0,0,20,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,0,74.3,60.131533092188,0,41,Motors_Started,
1000,2023-07-21 14:33:12,0,0,0,,,60.131533092188,0,0,0,0,12,2,0,60.131533092188,0,0,0,0,0,0,196.2, 6.2, -0.5,0,0,1024,1024,1684,1024,0,0,100,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,0,74.3,60.131533092188,0,41,Motors_Started,
1200,2023-07-21 14:33:12,0,0,0,,,60.131533092188,0,0,0,0,12,2,0,60.131533092188,0,0,0,0,0,0,196.1, 6.2, -0.5,0,0,1024,1024,1684,1024,0,0,100,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,0,74.3,60.131533092188,0,41,Motors_Started,
1400,2023-07-21 14:33:12,0,0,0,,,60.131533092188,0,0,0,0,12,2,17.422,60.131533092188,0,0,0,0,0,0,196, 6.2, -0.5,0,0,1024,1024,1684,1024,0,0,100,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,1.108,74.3,60.131533092188,0,41,Motors_Started,
1600,2023-07-21 14:33:12,0,0,0,,,60.131533092188,0,0,0,0,12,2,17.422,60.131533092188,0,0,0,0,0,0,196.2, 6.2, -0.5,0,0,1024,1024,1684,1024,0,0,100,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,1.108,74.3,60.131533092188,0,11,AutoTakeoff,
1800,2023-07-21 14:33:13,0,0,0,,,60.131533092188,0,0,0,0,12,2,17.422,60.131533092188,0,0,0,0,0,0,196.1, 6.1, -0.4,0,0,1024,1024,1684,1024,0,0,100,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,1.108,74.3,60.131533092188,0,11,AutoTakeoff,
2000,2023-07-21 14:33:13,0,0,0,,,60.131533092188,0,0,0,0,12,2,17.422,60.131533092188,0,0,0,0,0,0,196, 2.4, -0.2,0,0,1024,1024,1684,1024,0,0,100,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,1.108,74.3,60.131533092188,0,11,AutoTakeoff,
2200,2023-07-21 14:33:13,0,0,0,,,60.131533092188,0,0,0,0,12,2,17.422,60.131533092188,0,0,0,0,0,-0.671082,196.3, -1.3, 0.7,0,0,1024,1024,1684,1024,0,0,100,0,196.3,0,0,100,4.308,4.306,4.306,4.303,0,0,1.108,74.3,60.131533092188,0,11,AutoTakeoff,
2400,2023-07-21 14:33:13,0,0,0.328084,,,60.459617092188,0.328084,0,0,0,12,2,17.252,60.459617092188,0.328084,0,0,0,0,-1.565858,196.3, -0.2, 1.3,0,0,1024,1024,1684,1024,0,0,100,0,196.3,0,0,100,4.295,4.29,4.286,4.279,0,0,3.118,74.3,60.459617092188,0.328084,11,AutoTakeoff,
2600,2023-07-21 14:33:13,0,0,0.984252,,,61.115785092188,0.984252,0,0,0,12,2,17.252,61.115785092188,0.984252,0,0,0,0,-2.23694,196.2, 0, 1.4,0,0,1024,1024,1684,1024,0,0,100,0,196.3,0,0,100,4.295,4.29,4.286,4.279,0,0,3.118,74.3,61.115785092188,0.984252,11,AutoTakeoff,
2800,2023-07-21 14:33:14,0,0,1.968504,,,62.100037092188,1.968504,0,0,0,12,2,17.252,62.100037092188,1.968504,0,0,0,0,-2.684328,195.9, -1.1, 2.2,0,0,1024,1024,1684,1024,0,0,100,0,196.3,0,0,100,4.295,4.29,4.286,4.279,0,0,3.118,74.3,62.100037092188,1.968504,11,AutoTakeoff,
