time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2023-07-27 14:53:33,52.2063459213481,0.0864885894724309,0,0,52.506024317988,52.506024317988,2.624672,0,0,0,23,5,0,52.506024317988,0,0,0,0,0,0,289.7, 7.9, 4.9,0,0,1024,1024,1024,1024,0,0,0,0,287.6,0,-0.1,63,3.916,3.921,3.919,3.917,0,0,0,73.22,52.506024317988,0,41,Motors_Started,"Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059)"
300,2023-07-27 14:53:33,52.2063468925923,0.0864876659314915,0,0,52.506024317988,52.506024317988,2.624672,0,0.41013124672,0.41013124672,23,5,0,52.506024317988,0,0,0.41013124672,0,0,0,289.8, 7.3, 2.8,0,0,1024,1024,1024,1024,0,0,0,0,287.9,0,0,63,3.916,3.921,3.919,3.917,0,0,0,73.22,52.506024317988,0,41,Motors_Started,"Setting new Return-To-Home altitude to 26m (85 ft). Data Recorder File Index is 75. Setting new Maximum Flight Altitude to 120m (394 ft)"
500,2023-07-27 14:53:33,52.2063478073163,0.086486754531738,0,0,52.506024317988,52.506024317988,1.968504,0,0.80112207288,0.80116144296,23,5,0,52.506024317988,0,0,0.80112207288,0,0,0,288.5, 7.8, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,288,0,0,63,3.916,3.921,3.919,3.917,0,0,0,73.22,52.506024317988,0,41,Motors_Started,
700,2023-07-27 14:53:34,52.2063486337968,0.0864859540767014,0,0,52.506024317988,52.506024317988,1.968504,0,1.1517716904,1.15181762216,23,5,0,52.506024317988,0,0,1.1517716904,0,0,0,288.5, 7.4, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,288,0,0,63,3.916,3.921,3.919,3.917,0,0,0,73.22,52.506024317988,0,41,Motors_Started,
900,2023-07-27 14:53:34,52.2063494183679,0.0864852064781115,0,0,52.506024317988,52.506024317988,0,0,1.48324479812,1.48329729156,23,5,0,52.506024317988,0,0,1.48324479812,0,0,0,287.5, 7.1, -2.1,0,0,1024,1024,1024,1024,0,0,0,0,287.9,0,0,63,3.916,3.921,3.919,3.917,0,0,0,73.22,52.506024317988,0,41,Motors_Started,
1100,2023-07-27 14:53:34,52.2063502295521,0.0864845616741967,0,0,52.506024317988,52.506024317988,0,0,1.8115486144,1.81250333884,23,5,15.879,52.506024317988,0,0,1.8115486144,0,0,0,287.6, 6.8, -2.6,0,0,1024,1024,1024,1024,0,0,0,0,287.9,0,0,63,3.916,3.921,3.919,3.917,0,0,1.383,73.22,52.506024317988,0,41,Motors_Started,
1300,2023-07-27 14:53:34,52.2063511446188,0.0864840007087703,0,0,52.506024317988,52.506024317988,0.328084,0,2.16434062044,2.16914705104,23,5,15.879,52.506024317988,0,0,2.16434062044,0,0,0,286.9, 7.1, -0.5,0,0,1024,1024,1024,1024,0,0,0,0,287.9,0,0,63,3.916,3.921,3.919,3.917,0,0,1.383,73.22,52.506024317988,0,41,Motors_Started,
1500,2023-07-27 14:53:34,52.206352057955,0.0864834697013881,0,0,52.506024317988,52.506024317988,0,0,2.514599818,2.52289706236,23,5,15.879,52.506024317988,0,0,2.514599818,0,0,0,287.1, 7, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,287.8,0,0,63,3.916,3.921,3.919,3.917,0,0,1.383,73.22,52.506024317988,0,41,Motors_Started,
1700,2023-07-27 14:53:35,52.2063528681197,0.0864829194302705,0,0,52.506024317988,52.506024317988,0,0,2.83390100932,2.84306767628,23,5,15.879,52.506024317988,0,0,2.83390100932,0,0,0,289.1, 5.2, 0,0,0,1024,1024,1024,1024,0,0,0,0,287.8,0,0,63,3.916,3.921,3.919,3.917,0,0,1.383,73.22,52.506024317988,0,11,AutoTakeoff,
1900,2023-07-27 14:53:35,52.2063535816154,0.0864823328544208,0,0,52.506024317988,52.506024317988,0.328084,0,3.12539051996,3.13455718692,23,5,15.879,52.506024317988,0,0,3.12539051996,0,0,0,288.4, 4.3, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,287.9,0,0,63,3.916,3.921,3.919,3.917,0,0,1.383,73.22,52.506024317988,0,11,AutoTakeoff,
2100,2023-07-27 14:53:35,52.2063543179162,0.0864817428081631,0,0,52.506024317988,52.506024317988,1.64042,0,3.4246720256,3.4338583776,23,5,15.688,52.506024317988,0,0,3.4246720256,0,0,-0.223694,287.6, 3.5, 1.9,0,0,1024,1024,1024,1024,0,0,0,0,287.9,0,0,63,3.928,3.931,3.927,3.922,0,0,3.787,73.22,52.506024317988,0,11,AutoTakeoff,
2300,2023-07-27 14:53:35,52.206355028028,0.0864811913348095,0,0,52.506024317988,52.506024317988,1.64042,0,3.7115486752,3.7207678356,23,5,15.688,52.506024317988,0,0,3.7115486752,0,0,0,288.4, -0.6, 0.9,0,0,1024,1024,1024,1024,0,0,0,0,287.9,0,0,63,3.928,3.931,3.927,3.922,0,0,3.787,73.22,52.506024317988,0,11,AutoTakeoff,
2500,2023-07-27 14:53:35,52.2063559127249,0.0864808280708067,0,0,52.506024317988,52.506024317988,5.577428,0.223694,4.0373360872,4.0536090536,23,5,15.688,52.506024317988,0,0.223694,4.0373360872,0,0.223694,0,288.4, -1.8, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,287.9,0,0,63,3.928,3.931,3.927,3.922,0,0,3.787,73.22,52.506024317988,0,11,AutoTakeoff,
2700,2023-07-27 14:53:36,52.2063568316638,0.0864804231024943,0.328084,0.328084,52.506024317988,52.834108317988,6.233596,0,4.3793964656,4.4008859676,23,5,15.688,52.834108317988,0.328084,0.223694,4.3793964656,0,0,-0.447388,288.7, -2.1, -3,0,0,1024,1024,1024,1024,0,0,0,0,287.9,0,0,63,3.928,3.931,3.927,3.922,0,0,3.787,73.22,52.834108317988,0.328084,6,P-GPS,
