time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2023-07-02 19:19:48,0,0,0,,,53.419292719916,0,0,0,0,7,0,0,53.419292719916,0,0,0,0,0,0,271.2, 4.8, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,271.2,0,0,63,3.928,3.928,3.928,3.926,0,0,0,73.94,53.419292719916,0,41,Motors_Started,
300,2023-07-02 19:19:48,0,0,0,,,53.419292719916,0,0,0,0,7,0,0,53.419292719916,0,0,0,0,0,0,271.1, 4.8, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,271.2,0,0,63,3.928,3.928,3.928,3.926,0,0,0,73.94,53.419292719916,0,41,Motors_Started,
500,2023-07-02 19:19:48,0,0,0,,,53.419292719916,0,0,0,0,7,0,0,53.419292719916,0,0,0,0,0,0,271.1, 4.9, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,271.2,0,0,63,3.928,3.928,3.928,3.926,0,0,0,73.94,53.419292719916,0,41,Motors_Started,
700,2023-07-02 19:19:49,0,0,0,,,53.419292719916,0,0,0,0,7,0,0,53.419292719916,0,0,0,0,0,0,271.1, 4.9, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,271.2,0,0,63,3.928,3.928,3.928,3.926,0,0,0,73.94,53.419292719916,0,41,Motors_Started,"No GPS. Fly with caution GPS signal weak. Hovering unstable. Fly with caution (Code: 30002)"
900,2023-07-02 19:19:49,0,0,0,,,53.419292719916,0,0,0,0,7,0,15.756,53.419292719916,0,0,0,0,0,0,271, 4.9, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,271.2,0,0,63,3.928,3.928,3.928,3.926,0,0,2.429,73.94,53.419292719916,0,41,Motors_Started,"Setting new Return-To-Home altitude to 26m (85 ft). Data Recorder File Index is 47. Setting new Maximum Flight Altitude to 30m (98 ft)"
1100,2023-07-02 19:19:49,0,0,0,,,53.419292719916,0,0,0,0,7,0,15.756,53.419292719916,0,0,0,0,0,0,271, 4.9, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,271.2,0,0,63,3.928,3.928,3.928,3.926,0,0,2.429,73.94,53.419292719916,0,41,Motors_Started,
1300,2023-07-02 19:19:49,0,0,0,,,53.419292719916,0,0,0,0,7,0,15.756,53.419292719916,0,0,0,0,0,0,271, 4.9, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,271.2,0,0,63,3.928,3.928,3.928,3.926,0,0,2.429,73.94,53.419292719916,0,41,Motors_Started,
1500,2023-07-02 19:19:50,0,0,0,,,53.419292719916,0,0,0,0,7,0,15.756,53.419292719916,0,0,0,0,0,0,271, 4.9, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,271.2,0,0,63,3.928,3.928,3.928,3.926,0,0,2.429,73.94,53.419292719916,0,41,Motors_Started,
1700,2023-07-02 19:19:50,0,0,0,,,53.419292719916,0,0,0,0,7,0,15.756,53.419292719916,0,0,0,0,0,0,271, 4.9, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,271.2,0,0,63,3.928,3.928,3.928,3.926,0,0,2.429,73.94,53.419292719916,0,11,AutoTakeoff,
1900,2023-07-02 19:19:50,0,0,0,,,53.419292719916,0,0,0,0,7,0,15.783,53.419292719916,0,0,0,0,0,0,271, 4.8, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,271.1,0,0,63,3.956,3.958,3.959,3.956,0,0,4.276,73.76,53.419292719916,0,11,AutoTakeoff,
2100,2023-07-02 19:19:50,0,0,0,,,53.419292719916,0,0,0,0,7,0,15.783,53.419292719916,0,0,0,0,0,0,271, 1, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,271.1,0,0,63,3.956,3.958,3.959,3.956,0,0,4.276,73.76,53.419292719916,0,11,AutoTakeoff,
2300,2023-07-02 19:19:50,0,0,0,,,53.419292719916,0,0,0,0,7,0,15.783,53.419292719916,0,0,0,0,0,-0.671082,271.2, -2.1, 0.1,0,0,1024,1024,1024,1024,0,0,0,0,271.1,0,0,63,3.956,3.958,3.959,3.956,0,0,4.276,73.76,53.419292719916,0,11,AutoTakeoff,
2500,2023-07-02 19:19:50,0,0,0.328084,,,53.747376719916,0.328084,0,0,0,7,0,15.783,53.747376719916,0.328084,0,0,0,0,-1.11847,271.1, 0.8, -0.2,0,0,1024,1024,1237,1024,0,0,32,0,271.2,0,0,63,3.956,3.958,3.959,3.956,0,0,4.276,73.76,53.747376719916,0.328084,11,AutoTakeoff,
2700,2023-07-02 19:19:51,0,0,0.656168,,,54.075460719916,0.656168,0,0,0,7,0,15.783,54.075460719916,0.656168,0,0,0,0,-1.11847,271, 0.8, -0.9,0,0,1024,1024,1684,1024,0,0,100,0,271.1,0,0,63,3.956,3.958,3.959,3.956,0,0,4.276,73.76,54.075460719916,0.656168,11,AutoTakeoff,
2900,2023-07-02 19:19:51,0,0,1.312336,,,54.731628719916,1.312336,0,0,0,7,0,15.528,54.731628719916,1.312336,0,0,0,0,-2.013246,271.1, 0, -3.1,0,0,1024,1024,1684,1023,0,0,100,-0,271.2,0,0,63,3.881,3.882,3.881,3.883,0,0,5.528,73.76,54.731628719916,1.312336,11,AutoTakeoff,
3100,2023-07-02 19:19:51,0,0,1.968504,,,55.387796719916,1.968504,0,0,0,7,0,15.528,55.387796719916,1.968504,0,0,0,0,-3.579104,270.4, -0.6, -0.1,0,0,1024,1024,1684,1023,0,0,100,-0,271.1,0,0,63,3.881,3.882,3.881,3.883,0,0,5.528,73.76,55.387796719916,1.968504,11,AutoTakeoff,
3300,2023-07-02 19:19:51,0,0,3.608924,,,57.028216719916,3.608924,0,0,0,7,0,15.528,57.028216719916,3.608924,0,0,0,0,-5.59235,271.2, -1.2, -0.6,0,0,1024,1024,1684,1024,0,0,100,0,271.1,0,0,63,3.881,3.882,3.881,3.883,0,0,5.528,73.76,57.028216719916,3.608924,11,AutoTakeoff,
3500,2023-07-02 19:19:52,0,0,5.577428,,,58.996720719916,5.577428,0,0,0,7,0,15.528,58.996720719916,5.577428,0,0,0,0,-7.381902,271.5, -1.6, 0,0,0,1024,1024,1551,1024,0,0,80,0,271.1,0,0,63,3.881,3.882,3.881,3.883,0,0,5.528,73.76,58.996720719916,5.577428,6,P-GPS,
3700,2023-07-02 19:19:52,0,0,8.530184,,,61.949476719916,8.2021,0.223694,0,0,7,0,15.528,61.949476719916,8.530184,0.223694,0,0,0.223694,-9.395148,271.7, -2.8, -0.9,0,0,1024,1024,1321,1024,0,0,45,0,271.1,0,0,63,3.881,3.882,3.881,3.883,0,0,5.528,73.76,61.949476719916,8.530184,6,P-GPS,
3900,2023-07-02 19:19:52,0,0,12.467192,,,65.886484719916,11.154856,0,0,0,7,0,15.289,65.886484719916,12.467192,0.223694,0,0,0,-10.289924,271.4, -5.3, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,271.1,0,0,63,3.773,3.777,3.772,3.772,0,0,9.958,73.76,65.886484719916,12.467192,6,P-GPS,
4100,2023-07-02 19:19:52,0,0,15.748032,,,69.167324719916,14.107612,0,0,0,7,0,15.289,69.167324719916,15.748032,0.223694,0,0,0,-9.395148,271.4, -5.6, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,271.1,0,0,63,3.773,3.777,3.772,3.772,0,0,9.958,73.76,69.167324719916,15.748032,6,P-GPS,
4300,2023-07-02 19:19:52,0,0,18.700788,,,72.120080719916,16.732284,0,0,0,7,0,15.289,72.120080719916,18.700788,0.223694,0,0,0,-7.605596,271.2, -5, -2.7,0,0,1024,1024,1024,1024,0,0,0,0,271.1,0,0,63,3.773,3.777,3.772,3.772,0,0,9.958,73.76,72.120080719916,18.700788,6,P-GPS,
4500,2023-07-02 19:19:53,0,0,20.341208,,,73.760500719916,18.700788,0,0,0,7,0,15.289,73.760500719916,20.341208,0.223694,0,0,0,-5.59235,271.1, -5, -3.5,0,0,1024,1024,1024,1024,0,0,0,0,271.1,0,0,63,3.773,3.777,3.772,3.772,0,0,9.958,73.76,73.760500719916,20.341208,6,P-GPS,
4700,2023-07-02 19:19:53,0,0,21.32546,,,74.744752719916,20.013124,0,0,0,7,0,15.289,74.744752719916,21.32546,0.223694,0,0,0,-3.35541,271, -4.9, -4.1,0,0,1045,1024,1024,1024,3,0,0,0,271.1,0,0,63,3.773,3.777,3.772,3.772,0,0,9.958,73.76,74.744752719916,21.32546,6,P-GPS,
4900,2023-07-02 19:19:53,0,0,21.32546,,,74.744752719916,20.669292,0,0,0,7,0,15.42,74.744752719916,21.32546,0.223694,0,0,0,-1.11847,270.8, -4.9, -4.2,0,0,1566,1024,1024,1024,82,0,0,0,271.1,0,0,63,3.908,3.914,3.915,3.916,0,0,12.274,73.76,74.744752719916,21.32546,6,P-GPS,
5100,2023-07-02 19:19:53,0,0,21.32546,,,74.744752719916,20.997376,0,0,0,7,0,15.42,74.744752719916,21.32546,0.223694,0,0,0,0,270.7, -1.9, -1.8,0,0,1684,1024,1024,1024,100,0,0,0,271.1,0,0,63,3.908,3.914,3.915,3.916,0,0,12.274,73.76,74.744752719916,21.32546,6,P-GPS,
5300,2023-07-02 19:19:53,0,0,20.997376,,,74.416668719916,20.997376,0.223694,0,0,7,0,15.42,74.744752719916,21.32546,0.223694,0,0,-0.223694,0.223694,271.3, -20.9, -1.6,0,0,1684,1024,1024,1024,100,0,0,0,271.1,0,0,63,3.908,3.914,3.915,3.916,0,0,12.274,73.76,74.416668719916,20.997376,6,P-GPS,
5500,2023-07-02 19:19:54,0,0,20.997376,,,74.416668719916,20.997376,1.789552,0,0,7,0,15.42,74.744752719916,21.32546,1.789552,0,0,-1.789552,0.223694,271.6, -28.2, -0.4,0,0,1684,1024,1024,1024,100,0,0,0,271.1,0,0,63,3.908,3.914,3.915,3.916,0,0,12.274,73.76,74.416668719916,20.997376,6,P-GPS,
5700,2023-07-02 19:19:54,0,0,20.997376,,,74.416668719916,20.997376,3.802798,0,0,7,0,15.42,74.744752719916,21.32546,3.802798,0,0.223694,-3.802798,0,271.7, -28.9, -1,0,0,1684,1024,1024,1024,100,0,0,0,271.1,0,0,63,3.908,3.914,3.915,3.916,0,0,12.274,73.76,74.416668719916,20.997376,6,P-GPS,
5900,2023-07-02 19:19:54,0,0,20.997376,,,74.416668719916,20.997376,5.816044,0,0,7,0,15.554,74.744752719916,21.32546,5.816044,0,0.223694,-5.816044,0,272.1, -29.4, -2.6,0,0,1681,1024,1024,1024,100,0,0,0,271.1,0,0,63,3.836,3.837,3.839,3.839,0,0,4.861,74.12,74.416668719916,20.997376,6,P-GPS,
6100,2023-07-02 19:19:54,0,0,21.32546,,,74.744752719916,20.997376,7.605596,0,0,7,0,15.554,74.744752719916,21.32546,7.605596,0,0.223694,-7.605596,0,272, -29.5, -3.5,0,0,1675,1024,1024,1024,99,0,0,0,271.1,0,0,63,3.836,3.837,3.839,3.839,0,0,4.861,74.12,74.744752719916,21.32546,6,P-GPS,
6300,2023-07-02 19:19:54,0,0,21.32546,,,74.744752719916,20.997376,9.618842,0,0,7,0,15.554,74.744752719916,21.32546,9.618842,0,0.223694,-9.618842,0,272.2, -29, -3.5,0,0,1652,1024,1024,1024,95,0,0,0,271.1,0,0,63,3.836,3.837,3.839,3.839,0,0,4.861,74.12,74.744752719916,21.32546,6,P-GPS,
6500,2023-07-02 19:19:54,0,0,21.653544,,,75.072836719916,20.997376,11.1847,0,0,7,0,15.554,75.072836719916,21.653544,11.1847,0,0.223694,-11.1847,0,271.6, -26.8, -3.2,0,0,1133,1024,1024,1024,17,0,0,0,271.1,0,0,63,3.836,3.837,3.839,3.839,0,0,4.861,74.12,75.072836719916,21.653544,6,P-GPS,
6700,2023-07-02 19:19:55,0,0,21.653544,,,75.072836719916,20.997376,12.750558,0,0,7,0,15.554,75.072836719916,21.653544,12.750558,0,0.223694,-12.750558,0,271.8, -23.8, -3.4,0,0,1024,1024,1024,1024,0,0,0,0,271.1,0,0,63,3.836,3.837,3.839,3.839,0,0,4.861,74.12,75.072836719916,21.653544,6,P-GPS,
6900,2023-07-02 19:19:55,0,0,21.653544,,,75.072836719916,20.997376,13.197946,0,0,7,0,15.325,75.072836719916,21.653544,13.197946,0,0,-13.197946,-0.447388,271.1, 3.4, -2.3,0,0,1024,1024,1024,1024,0,0,0,0,271.1,0,0,63,3.817,3.82,3.822,3.822,0,0,10.146,74.12,75.072836719916,21.653544,6,P-GPS,
7100,2023-07-02 19:19:55,0,0,21.653544,,,75.072836719916,20.997376,11.408394,0,0,7,0,15.325,75.072836719916,21.653544,13.197946,0,0,-11.408394,-0.894776,271.6, 24.3, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,271.1,0,0,63,3.817,3.82,3.822,3.822,0,0,10.146,74.12,75.072836719916,21.653544,6,P-GPS,
