time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2023-07-03 14:45:46,0,0,0,,,53.750575538916,0,0,0,0,12,0,0,53.750575538916,0,0,0,0,0,0,272.3, 4.9, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,272.5,0,0,100,4.345,4.345,4.346,4.341,0,0,0,74.3,53.750575538916,0,41,Motors_Started,"No GPS. Fly with caution GPS signal weak. Hovering unstable. Fly with caution (Code: 30002)"
300,2023-07-03 14:45:46,0,0,0,,,53.750575538916,0,0,0,0,12,0,0,53.750575538916,0,0,0,0,0,0,272.4, 4.9, -0.1,0,0,1024,1024,1024,1024,0,0,0,0,272.5,0,0,100,4.345,4.345,4.346,4.341,0,0,0,74.3,53.750575538916,0,41,Motors_Started,"Setting new Return-To-Home altitude to 26m (85 ft). Data Recorder File Index is 49. Setting new Maximum Flight Altitude to 30m (98 ft)"
500,2023-07-03 14:45:46,0,0,0,,,53.750575538916,0,0,0,0,12,0,0,53.750575538916,0,0,0,0,0,0,272.4, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,272.5,0,0,100,4.345,4.345,4.346,4.341,0,0,0,74.3,53.750575538916,0,41,Motors_Started,
700,2023-07-03 14:45:46,0,0,0,,,53.750575538916,0,0,0,0,12,0,0,53.750575538916,0,0,0,0,0,0,272.2, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,272.5,0,0,100,4.345,4.345,4.346,4.341,0,0,0,74.3,53.750575538916,0,41,Motors_Started,
900,2023-07-03 14:45:46,0,0,0,,,53.750575538916,0,0,0,0,12,0,0,53.750575538916,0,0,0,0,0,0,271.9, 4.9, 0,0,0,1024,1024,1024,1024,0,0,0,0,272.5,0,0,100,4.345,4.345,4.346,4.341,0,0,0,74.3,53.750575538916,0,41,Motors_Started,
1100,2023-07-03 14:45:47,0,0,0,,,53.750575538916,0,0,0,0,12,2,17.371,53.750575538916,0,0,0,0,0,0,271.6, 5, 0,0,0,1024,1024,1024,1024,0,0,0,0,272.4,0,0,100,4.345,4.345,4.346,4.341,0,0,1.254,74.3,53.750575538916,0,41,Motors_Started,
1300,2023-07-03 14:45:47,0,0,0,,,53.750575538916,0,0,0,0,12,2,17.371,53.750575538916,0,0,0,0,0,0,271.5, 5, 0,0,0,1024,1024,1064,1024,0,0,6,0,272.4,0,0,100,4.345,4.345,4.346,4.341,0,0,1.254,74.3,53.750575538916,0,41,Motors_Started,
1500,2023-07-03 14:45:47,0,0,0,,,53.750575538916,0,0,0,0,12,2,17.371,53.750575538916,0,0,0,0,0,0,271.5, 5, 0,0,0,1024,1024,1127,1024,0,0,16,0,272.3,0,0,100,4.345,4.345,4.346,4.341,0,0,1.254,74.3,53.750575538916,0,41,Motors_Started,
1700,2023-07-03 14:45:47,0,0,0,,,53.750575538916,0,0,0,0,12,2,17.371,53.750575538916,0,0,0,0,0,0,271.6, 5, 0,0,0,1024,1024,1168,1024,0,0,22,0,272.3,0,0,100,4.345,4.345,4.346,4.341,0,0,1.254,74.3,53.750575538916,0,11,AutoTakeoff,
1900,2023-07-03 14:45:47,0,0,0,,,53.750575538916,0,0,0,0,12,2,17.371,53.750575538916,0,0,0,0,0,0,271.4, 4.6, -0.1,0,0,1024,1024,1364,1024,0,0,52,0,272.3,0,0,100,4.345,4.345,4.346,4.341,0,0,1.254,74.3,53.750575538916,0,11,AutoTakeoff,
2100,2023-07-03 14:45:48,0,0,0,,,53.750575538916,0,0,0,0,12,2,17.208,53.750575538916,0,0,0,0,0,-0.223694,270, -0.5, 0,0,0,1024,1024,1684,1024,0,0,100,0,272.1,0,0,100,4.291,4.292,4.288,4.281,0,0,3.705,74.3,53.750575538916,0,11,AutoTakeoff,
2300,2023-07-03 14:45:48,0,0,0,,,53.750575538916,0.328084,0,0,0,12,2,17.208,53.750575538916,0,0,0,0,0,-1.11847,270.4, -0.1, 0,0,0,1024,1024,1684,1024,0,0,100,0,271.9,0,0,100,4.291,4.292,4.288,4.281,0,0,3.705,74.3,53.750575538916,0,11,AutoTakeoff,
2500,2023-07-03 14:45:48,0,0,0.656168,,,54.406743538916,0.656168,0,0,0,12,2,17.208,54.406743538916,0.656168,0,0,0,0,-2.684328,271.5, 1.4, 0.7,0,0,1024,1024,1684,1024,0,0,100,0,271.8,0,0,100,4.291,4.292,4.288,4.281,0,0,3.705,74.3,54.406743538916,0.656168,11,AutoTakeoff,
2700,2023-07-03 14:45:48,0,0,1.64042,,,55.390995538916,1.968504,0.223694,0,0,12,2,17.208,55.390995538916,1.64042,0.223694,0,0.223694,0,-4.250186,270.7, -0.1, -1.5,0,0,1024,1024,1684,1024,0,0,100,0,271.8,0,0,100,4.291,4.292,4.288,4.281,0,0,3.705,74.3,55.390995538916,1.64042,11,AutoTakeoff,
2900,2023-07-03 14:45:48,0,0,3.28084,,,57.031415538916,3.608924,0,0,0,12,2,17.208,57.031415538916,3.28084,0.223694,0,0,0,-6.487126,270.7, 0.4, -3.5,0,0,1024,1024,1684,1024,0,0,100,0,271.7,0,0,100,4.291,4.292,4.288,4.281,0,0,3.705,74.3,57.031415538916,3.28084,11,AutoTakeoff,
3100,2023-07-03 14:45:49,0,0,5.577428,,,59.328003538916,5.905512,0.223694,0,0,12,2,17.208,59.328003538916,5.577428,0.223694,0,0,0.223694,-8.500372,270.5, -1.8, -3.4,0,0,1024,1024,1684,1024,0,0,100,0,271.7,0,0,100,4.291,4.292,4.288,4.281,0,0,3.705,74.3,59.328003538916,5.577428,6,P-GPS,
3300,2023-07-03 14:45:49,0,0,8.530184,,,62.280759538916,8.858268,0,0,0,12,2,16.9,62.280759538916,8.530184,0.223694,0,0,0,-10.737312,271.1, -2.7, -2.6,0,0,1024,1024,1684,1024,0,0,100,0,271.7,0,0,100,4.181,4.189,4.183,4.18,0,0,7.437,74.12,62.280759538916,8.530184,6,P-GPS,
3500,2023-07-03 14:45:49,0,0,11.811024,,,65.561599538916,12.467192,0,0,0,11,2,16.9,65.561599538916,11.811024,0.223694,0,0,0,-12.750558,271.8, -2.8, -2.8,0,0,1024,1024,1684,1024,0,0,100,0,271.7,0,0,100,4.181,4.189,4.183,4.18,0,0,7.437,74.12,65.561599538916,11.811024,6,P-GPS,
3700,2023-07-03 14:45:49,0,0,15.748032,,,69.498607538916,16.4042,0,0,0,11,2,16.9,69.498607538916,15.748032,0.223694,0,0,0,-13.42164,271.4, -3.4, -1.5,0,0,1024,1024,1684,1024,0,0,100,0,271.7,0,0,100,4.181,4.189,4.183,4.18,0,0,7.437,74.12,69.498607538916,15.748032,6,P-GPS,
