time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2023-06-01 18:39:55,0,0,0,,,53.688311429312,0.328084,0,0,0,18,2,0,53.688311429312,0,0,0,0,0,0,292.7, 4.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,292.8,0,0,100,4.304,4.301,4.301,4.296,0,0,0,74.66,53.688311429312,0,41,Motors_Started,"No GPS signal. Aircraft unable to hover. Fly with caution (Code: 30008). GPS signal weak. Hovering unstable. Fly with caution (Code: 30002)"
300,2023-06-01 18:39:55,0,0,0,,,53.688311429312,0.328084,0,0,0,18,2,0,53.688311429312,0,0,0,0,0,0,292.7, 4.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,292.8,0,0,100,4.304,4.301,4.301,4.296,0,0,0,74.66,53.688311429312,0,41,Motors_Started,"Setting new Return-To-Home altitude to 26m (85 ft). Data Recorder File Index is 28. Setting new Maximum Flight Altitude to 30m (98 ft)"
500,2023-06-01 18:39:56,0,0,0,,,53.688311429312,0,0,0,0,18,2,0,53.688311429312,0,0,0,0,0,0,292.7, 4.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,292.8,0,0,100,4.304,4.301,4.301,4.296,0,0,0,74.66,53.688311429312,0,41,Motors_Started,
700,2023-06-01 18:39:56,0,0,0,,,53.688311429312,0,0,0,0,18,2,0,53.688311429312,0,0,0,0,0,0,292.7, 4.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,292.8,0,0,100,4.304,4.301,4.301,4.296,0,0,0,74.66,53.688311429312,0,41,Motors_Started,
900,2023-06-01 18:39:56,0,0,0,,,53.688311429312,0,0,0,0,18,2,0,53.688311429312,0,0,0,0,0,0,292.7, 4.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,292.8,0,0,100,4.304,4.301,4.301,4.296,0,0,0,74.66,53.688311429312,0,41,Motors_Started,
1100,2023-06-01 18:39:56,0,0,0,,,53.688311429312,0,0,0,0,19,2,0,53.688311429312,0,0,0,0,0,0,292.7, 4.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,292.8,0,0,100,4.304,4.301,4.301,4.296,0,0,0,74.66,53.688311429312,0,41,Motors_Started,
1300,2023-06-01 18:39:56,0,0,0,,,53.688311429312,0,0,0,0,19,2,17.213,53.688311429312,0,0,0,0,0,0,292.7, 4.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,292.8,0,0,100,4.304,4.301,4.301,4.296,0,0,3.348,74.66,53.688311429312,0,41,Motors_Started,
1500,2023-06-01 18:39:57,0,0,0,,,53.688311429312,0,0,0,0,19,2,17.213,53.688311429312,0,0,0,0,0,0,292.9, 4.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,292.8,0,0,100,4.304,4.301,4.301,4.296,0,0,3.348,74.66,53.688311429312,0,41,Motors_Started,"GPS signal weak. Hovering unstable. Fly with caution (Code: 30002)"
1700,2023-06-01 18:39:57,0,0,0,,,53.688311429312,0,0,0,0,19,2,17.213,53.688311429312,0,0,0,0,0,0,293.1, 4.5, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,292.8,0,0,100,4.304,4.301,4.301,4.296,0,0,3.348,74.66,53.688311429312,0,11,AutoTakeoff,
1900,2023-06-01 18:39:57,0,0,0,,,53.688311429312,0,0,0,0,19,2,17.213,53.688311429312,0,0,0,0,0,0,293, 3.2, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,292.8,0,0,100,4.304,4.301,4.301,4.296,0,0,3.348,74.66,53.688311429312,0,11,AutoTakeoff,
