time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
990800,2023-06-20 15:06:44,52.206382857018,0.0867281218564698,0,0,52.881109959912,53.110768759912,0,0,0,0,24,5,0,53.110768759912,0,0,0,0,0,0,269.4, 4.6, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,260.9,9.5,0,53,3.876,3.881,3.878,3.876,0,0,0,107.6,53.110768759912,0,41,Motors_Started,
991000,2023-06-20 15:06:44,52.2063828544854,0.0867281079914275,0,0,52.881109959912,53.110768759912,0,0,0.00323481637648,0.00323481637648,24,5,0,53.110768759912,0,0,0.00323481637648,0,0,0,269.3, 4.7, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,260.9,9.5,0,53,3.876,3.881,3.878,3.876,0,0,0,107.6,53.110768759912,0,41,Motors_Started,
991200,2023-06-20 15:06:44,52.2063828644562,0.0867280856128702,0,0,52.881109959912,53.110768759912,0,0,0.008545932032,0.0094210304852,24,5,0,53.110768759912,0,0,0.008545932032,0,0,0,269.4, 4.6, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,260.9,9.5,0,53,3.876,3.881,3.878,3.876,0,0,0,107.6,53.110768759912,0,41,Motors_Started,"Setting new Return-To-Home altitude to 26m (85 ft). Data Recorder File Index is 43. Setting new Maximum Flight Altitude to 120m (394 ft)"
991400,2023-06-20 15:06:44,52.2063828713108,0.0867280541196792,0,0,52.881109959912,53.110768759912,0,0,61.088256548,0.0168934388608,23,5,0,53.110768759912,0,0,61.088256548,0,0,0,269.3, 4.6, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,260.9,9.5,0,53,3.876,3.881,3.878,3.876,0,0,0,107.6,53.110768759912,0,41,Motors_Started,
991600,2023-06-20 15:06:44,52.2063828581895,0.0867280295183814,0,0,52.881109959912,53.110768759912,0,0,61.083663372,0.0241854666532,23,5,0,53.110768759912,0,0,61.088256548,0,0,0,269.4, 4.6, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,260.9,9.5,0,53,3.876,3.881,3.878,3.876,0,0,0,107.6,53.110768759912,0,41,Motors_Started,
991800,2023-06-20 15:06:45,52.2063828432424,0.0867280120719662,0,0,52.881109959912,53.110768759912,0,0,61.080382532,0.030890420936,24,5,0,53.110768759912,0,0,61.088256548,0,0,0,269.4, 4.6, -0.8,0,0,1024,1024,1116,1024,0,0,14,0,260.9,9.5,0,53,3.876,3.881,3.878,3.876,0,0,0,107.6,53.110768759912,0,41,Motors_Started,
992000,2023-06-20 15:06:45,52.2063828302989,0.0867279992186902,0,0,52.881109959912,53.110768759912,0,0,61.078414028,0.036418636336,24,5,0,53.110768759912,0,0,61.088256548,0,0,0,269.4, 4.7, -0.8,0,0,1024,1024,1684,1024,0,0,100,0,260.9,9.5,0,53,3.876,3.881,3.878,3.876,0,0,0,107.6,53.110768759912,0,41,Motors_Started,
992200,2023-06-20 15:06:45,52.2063828180332,0.0867279751180332,0,0,52.881109959912,53.110768759912,0,0,61.073820852,0.043423229736,24,5,15.492,53.110768759912,0,0,61.088256548,0,0,0,269.4, 4.6, -0.8,0,0,1024,1024,1684,1024,0,0,100,0,260.9,9.5,0,53,3.862,3.867,3.862,3.857,0,0,2.071,107.6,53.110768759912,0,11,AutoTakeoff,
992400,2023-06-20 15:06:45,52.2063828073867,0.0867279394126444,0,0,52.881109959912,53.110768759912,0,0,61.066603004,0.052301182776,24,5,15.492,53.110768759912,0,0,61.088256548,0,0,0,269.4, 4.7, -0.8,0,0,1024,1024,1675,1024,0,0,99,0,260.9,9.5,0,53,3.862,3.867,3.862,3.857,0,0,2.071,107.6,53.110768759912,0,11,AutoTakeoff,
992600,2023-06-20 15:06:45,52.2063827988348,0.0867279106489506,0,0,52.881109959912,53.110768759912,0,0,61.060697492,0.059449148884,23,5,15.492,53.110768759912,0,0,61.088256548,0,0,0,269.6, 4.6, -0.8,0,0,1024,1024,1684,1024,0,0,100,0,260.9,9.5,0,53,3.862,3.867,3.862,3.857,0,0,2.071,107.6,53.110768759912,0,11,AutoTakeoff,
