time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2023-06-02 17:24:27,0,0,0,,,53.364005644656,0.328084,0,0,0,19,2,0,53.364005644656,0,0,0,0,0,0,280, 4.5, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,280,0,0,58,3.915,3.912,3.914,3.912,0,0,0,71.06,53.364005644656,0,41,Motors_Started,"Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059). No GPS signal. Aircraft unable to hover. Fly with caution (Code: 30008). GPS signal weak. Hovering unstable. Fly with caution (Code: 30002)"
200,2023-06-02 17:24:27,0,0,0,,,53.364005644656,0.328084,0,0,0,19,2,0,53.364005644656,0,0,0,0,0,0,280, 4.5, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,280.1,0,0,58,3.915,3.912,3.914,3.912,0,0,0,71.06,53.364005644656,0,41,Motors_Started,
400,2023-06-02 17:24:27,0,0,0,,,53.364005644656,0.328084,0,0,0,19,2,0,53.364005644656,0,0,0,0,0,0,280, 4.5, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,280.1,0,0,58,3.915,3.912,3.914,3.912,0,0,0,71.06,53.364005644656,0,41,Motors_Started,
600,2023-06-02 17:24:28,0,0,0,,,53.364005644656,0,0,0,0,19,2,0,53.364005644656,0,0,0,0,0,0,280.2, 4.5, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,280.1,0,0,58,3.915,3.912,3.914,3.912,0,0,0,71.06,53.364005644656,0,41,Motors_Started,
800,2023-06-02 17:24:28,0,0,0,,,53.364005644656,0,0,0,0,19,2,0,53.364005644656,0,0,0,0,0,0,280, 4.5, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,280.1,0,0,58,3.915,3.912,3.914,3.912,0,0,0,71.06,53.364005644656,0,41,Motors_Started,"Setting new Return-To-Home altitude to 26m (85 ft). Data Recorder File Index is 29. Setting new Maximum Flight Altitude to 30m (98 ft)"
1000,2023-06-02 17:24:28,0,0,0,,,53.364005644656,0,0,0,0,19,2,0,53.364005644656,0,0,0,0,0,0,279.6, 4.5, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,280.1,0,0,58,3.915,3.912,3.914,3.912,0,0,0,71.06,53.364005644656,0,41,Motors_Started,
1200,2023-06-02 17:24:28,0,0,0,,,53.364005644656,0,0,0,0,19,2,0,53.364005644656,0,0,0,0,0,0,279.2, 4.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,280,0,0,58,3.915,3.912,3.914,3.912,0,0,0,71.06,53.364005644656,0,41,Motors_Started,
1400,2023-06-02 17:24:28,0,0,0,,,53.364005644656,0,0,0,0,19,2,0,53.364005644656,0,0,0,0,0,0,279.1, 4.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,280,0,0,58,3.915,3.912,3.914,3.912,0,0,0,71.06,53.364005644656,0,41,Motors_Started,
1600,2023-06-02 17:24:29,0,0,0,,,53.364005644656,0,0,0,0,19,2,15.654,53.364005644656,0,0,0,0,0,0,279, 4.6, 0.4,0,0,1024,1024,1024,1024,0,0,0,0,280,0,0,58,3.915,3.912,3.914,3.912,0,0,1.915,71.06,53.364005644656,0,11,AutoTakeoff,
1800,2023-06-02 17:24:29,0,0,0,,,53.364005644656,0,0,0,0,20,2,15.654,53.364005644656,0,0,0,0,0,0,279.1, 4.5, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,279.9,0,0,58,3.915,3.912,3.914,3.912,0,0,1.915,71.06,53.364005644656,0,11,AutoTakeoff,
