time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2023-05-23 17:10:44,52.2063973092821,0.0867213523598551,0,0,53.897087026544,53.897087026544,0.328084,0,0,0,26,5,0,53.897087026544,0,0,0,0,0,0,287.2, 4.8, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,282.7,0,0,72,4.028,4.035,4.035,4.03,0,0,0,95.36,53.897087026544,0,41,Motors_Started,
300,2023-05-23 17:10:44,52.2063973279408,0.0867213530605791,0,0,53.897087026544,53.897087026544,0.328084,0,0.00680938342,0.00680938342,26,5,0,53.897087026544,0,0,0.00680938342,0,0,0,287.2, 4.8, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,282.7,0,0,72,4.028,4.035,4.035,4.03,0,0,0,95.36,53.897087026544,0,41,Motors_Started,
500,2023-05-23 17:10:45,52.2063973723371,0.0867213549146144,0,0,53.897087026544,53.897087026544,0,0,0.02301263197,0.0230126647784,26,5,0,53.897087026544,0,0,0.02301263197,0,0,0,287.2, 4.7, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,282.7,0,0,72,4.028,4.035,4.035,4.03,0,0,0,95.36,53.897087026544,0,41,Motors_Started,
700,2023-05-23 17:10:45,52.2063974198678,0.0867213508885094,0,0,53.897087026544,53.897087026544,0,0,0.040348426488,0.040377625964,26,5,0,53.897087026544,0,0,0.040348426488,0,0,0,287.1, 4.8, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,282.7,0,0,72,4.028,4.035,4.035,4.03,0,0,0,95.36,53.897087026544,0,41,Motors_Started,
900,2023-05-23 17:10:45,52.2063974577285,0.0867213479685347,0,0,53.897087026544,53.897087026544,0,0,0.054169621156,0.054206366564,26,5,16.161,53.897087026544,0,0,0.054169621156,0,0,0,287.2, 4.8, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,282.7,0,0,72,4.028,4.035,4.035,4.03,0,0,2.343,95.36,53.897087026544,0,41,Motors_Started,"Setting new Return-To-Home altitude to 26m (85 ft). Data Recorder File Index is 17. Setting new Maximum Flight Altitude to 120m (394 ft)"
1100,2023-05-23 17:10:45,52.2063975117237,0.0867213448283825,0,0,53.897087026544,53.897087026544,0,0,0.073879923624,0.07391896562,26,5,16.161,53.897087026544,0,0,0.073879923624,0,0,0,287.1, 4.8, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,282.7,0,0,72,4.028,4.035,4.035,4.03,0,0,2.343,95.36,53.897087026544,0,41,Motors_Started,
1300,2023-05-23 17:10:45,52.2063975613996,0.086721342962115,0,0,53.897087026544,53.897087026544,0,0,0.092008861212,0.092048231292,26,5,16.161,53.897087026544,0,0,0.092008861212,0,0,0,287.1, 4.8, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,282.7,0,0,72,4.028,4.035,4.035,4.03,0,0,2.343,95.36,53.897087026544,0,41,Motors_Started,
1500,2023-05-23 17:10:46,52.2063975767094,0.0867213413806805,0,0,53.897087026544,53.897087026544,0,0,0.09760170916,0.097645016248,26,5,16.161,53.897087026544,0,0,0.09760170916,0,0,0,287.2, 4.8, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,282.7,0,0,72,4.028,4.035,4.035,4.03,0,0,2.343,95.36,53.897087026544,0,41,Motors_Started,
1700,2023-05-23 17:10:46,52.2063975548906,0.0867213401417445,0,0,53.897087026544,53.897087026544,0,0,0.089651905756,0.105610567684,26,5,16.161,53.897087026544,0,0,0.09760170916,0,0,0,287.2, 4.8, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,282.7,0,0,72,4.028,4.035,4.035,4.03,0,0,2.343,95.36,53.897087026544,0,11,AutoTakeoff,
1900,2023-05-23 17:10:46,52.2063975202672,0.0867213474006163,0,0,53.897087026544,53.897087026544,0,0,0.076985894852,0.11834646048,26,5,16.153,53.897087026544,0,0,0.09760170916,0,0,0,287.4, 4.8, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,282.7,0,0,72,4.039,4.044,4.042,4.037,0,0,4.487,95.36,53.897087026544,0,11,AutoTakeoff,
