time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
687300,2023-05-30 18:27:11,52.2063836559707,0.0867154189436423,0,0,53.769751392548,53.868176592548,0,0,0,0,28,5,0,53.868176592548,0,0,0,0,0,0,2.1, 3.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,350.4,0,0,21,3.69,3.696,3.697,3.697,0,0,0,94.28,53.868176592548,0,41,Motors_Started,
687500,2023-05-30 18:27:11,52.2063836508455,0.086715408512295,0,0,53.769751392548,53.868176592548,0,0,0.0029893537702,0.0029893537702,28,5,0,53.868176592548,0,0,0.0029893537702,0,0,0,2.1, 3.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,350.4,0,0,21,3.69,3.696,3.697,3.697,0,0,0,94.28,53.868176592548,0,41,Motors_Started,"Setting new Return-To-Home altitude to 26m (85 ft). Data Recorder File Index is 25. Setting new Maximum Flight Altitude to 120m (394 ft)"
687700,2023-05-30 18:27:11,52.2063836648053,0.0867154005365387,0,0,53.769751392548,53.868176592548,0,0,5.1052166988,0.0083857286148,27,5,0,53.868176592548,0,0,5.1052166988,0,0,0,2.1, 3.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,350.3,0,0,21,3.69,3.696,3.697,3.697,0,0,0,94.28,53.868176592548,0,41,Motors_Started,
687900,2023-05-30 18:27:11,52.2063836802557,0.086715420725595,0,0,53.769751392548,53.868176592548,0,0,5.0998033128,0.015607448006,27,5,0,53.868176592548,0,0,5.1052166988,0,0,0,2.2, 3.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,350.3,0,0,21,3.69,3.696,3.697,3.697,0,0,0,94.28,53.868176592548,0,41,Motors_Started,
688100,2023-05-30 18:27:11,52.2063836901912,0.08671545093535,0,0,53.769751392548,53.868176592548,0,0,5.0965552812,0.0232731634744,27,5,0,53.868176592548,0,0,5.1052166988,0,0,0,2.1, 3.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,350.3,0,0,21,3.69,3.696,3.697,3.697,0,0,0,94.28,53.868176592548,0,41,Motors_Started,
688300,2023-05-30 18:27:12,52.2063836948323,0.0867154759517112,0,0,53.769751392548,53.868176592548,0,0,5.0951773284,0.0291171925328,27,5,0,53.868176592548,0,0,5.1052166988,0,0,0,2.2, 3.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,350.3,0,0,21,3.69,3.696,3.697,3.697,0,0,0,94.28,53.868176592548,0,41,Motors_Started,
688500,2023-05-30 18:27:12,52.206383693588,0.0867154831013649,0,0,53.769751392548,53.868176592548,0,0,5.0957350712,0.0307789708012,27,5,14.786,53.868176592548,0,0,5.1052166988,0,0,0,2.1, 3.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,350.3,0,0,21,3.691,3.693,3.682,3.681,0,0,1.581,94.28,53.868176592548,0,41,Motors_Started,
688700,2023-05-30 18:27:12,52.206383687891,0.0867155006823659,0,0,53.769751392548,53.868176592548,0,0,5.0980316592,0.035225722912,27,5,14.786,53.868176592548,0,0,5.1052166988,0,0,0,2.2, 3.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,350.3,0,0,21,3.691,3.693,3.682,3.681,0,0,1.581,94.28,53.868176592548,0,41,Motors_Started,
688900,2023-05-30 18:27:12,52.2063836784631,0.086715505815473,0,0,53.769751392548,53.868176592548,0,0,5.101542158,0.03885170728,28,5,14.786,53.868176592548,0,0,5.1052166988,0,0,0,2.2, 3.4, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,350.3,0,0,21,3.691,3.693,3.682,3.681,0,0,1.581,94.28,53.868176592548,0,11,AutoTakeoff,
689100,2023-05-30 18:27:12,52.2063836620039,0.0867155013123183,0,0,53.769751392548,53.868176592548,0,0,5.1074804784,0.044940618236,28,5,14.786,53.868176592548,0,0,5.1074804784,0,0,0,2.2, 3.3, 0.5,0,0,1024,1024,1024,1024,0,0,0,0,350.3,0,0,21,3.691,3.693,3.682,3.681,0,0,1.581,94.28,53.868176592548,0,11,AutoTakeoff,
