time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2023-05-31 18:52:47,0,0,0,,,53.304100787096,0.328084,0,0,0,21,2,0,53.304100787096,0,0,0,0,0,0,276.1, 4.3, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,276.3,0,0,96,4.295,4.272,4.262,4.262,0,0,0,72.14,53.304100787096,0,41,Motors_Started,"Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059). No GPS signal. Aircraft unable to hover. Fly with caution (Code: 30008). GPS signal weak. Hovering unstable. Fly with caution (Code: 30002)"
300,2023-05-31 18:52:47,0,0,0,,,53.304100787096,0.328084,0,0,0,21,2,0,53.304100787096,0,0,0,0,0,0,276.1, 4.3, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,276.3,0,0,96,4.295,4.272,4.262,4.262,0,0,0,72.14,53.304100787096,0,41,Motors_Started,
500,2023-05-31 18:52:47,0,0,0,,,53.304100787096,0,0,0,0,21,2,0,53.304100787096,0,0,0,0,0,0,276.1, 4.3, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,276.3,0,0,96,4.295,4.272,4.262,4.262,0,0,0,72.14,53.304100787096,0,41,Motors_Started,"Setting new Return-To-Home altitude to 26m (85 ft). Data Recorder File Index is 26. Setting new Maximum Flight Altitude to 30m (98 ft)"
700,2023-05-31 18:52:47,0,0,0,,,53.304100787096,0,0,0,0,21,2,0,53.304100787096,0,0,0,0,0,0,276.1, 4.3, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,276.3,0,0,96,4.295,4.272,4.262,4.262,0,0,0,72.14,53.304100787096,0,41,Motors_Started,
900,2023-05-31 18:52:48,0,0,0,,,53.304100787096,0,0,0,0,21,2,0,53.304100787096,0,0,0,0,0,0,276.1, 4.3, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,276.3,0,0,96,4.295,4.272,4.262,4.262,0,0,0,72.14,53.304100787096,0,41,Motors_Started,
1100,2023-05-31 18:52:48,0,0,0,,,53.304100787096,0,0,0,0,21,2,17.185,53.304100787096,0,0,0,0,0,0,275.8, 4.3, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,276.3,0,0,96,4.295,4.272,4.262,4.262,0,0,1.111,72.14,53.304100787096,0,41,Motors_Started,
1300,2023-05-31 18:52:48,0,0,0,,,53.304100787096,0,0,0,0,21,2,17.185,53.304100787096,0,0,0,0,0,0,275.4, 4.3, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,276.3,0,0,96,4.295,4.272,4.262,4.262,0,0,1.111,72.14,53.304100787096,0,41,Motors_Started,
1500,2023-05-31 18:52:48,0,0,0,,,53.304100787096,0,0,0,0,21,2,17.185,53.304100787096,0,0,0,0,0,0,275.4, 4.3, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,276.2,0,0,96,4.295,4.272,4.262,4.262,0,0,1.111,72.14,53.304100787096,0,41,Motors_Started,
1700,2023-05-31 18:52:48,0,0,0,,,53.304100787096,0,0,0,0,21,2,17.185,53.304100787096,0,0,0,0,0,0,275.6, 4.3, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,276.2,0,0,96,4.295,4.272,4.262,4.262,0,0,1.111,72.14,53.304100787096,0,11,AutoTakeoff,
1900,2023-05-31 18:52:49,0,0,0,,,53.304100787096,0,0,0,0,21,2,17.185,53.304100787096,0,0,0,0,0,0,275.4, 4.2, -0.2,0,0,1024,1024,1024,1024,0,0,0,0,276.2,0,0,96,4.295,4.272,4.262,4.262,0,0,1.111,72.14,53.304100787096,0,11,AutoTakeoff,
2100,2023-05-31 18:52:49,0,0,0,,,53.304100787096,0,0,0,0,22,2,16.955,53.304100787096,0,0,0,0,0,-0.223694,275.9, -1.1, 0,0,0,1024,1024,1024,1024,0,0,0,0,276.2,0,0,96,4.229,4.235,4.239,4.25,0,0,3.478,71.96,53.304100787096,0,11,AutoTakeoff,
2300,2023-05-31 18:52:49,0,0,0.328084,,,53.632184787096,0.328084,0,0,0,21,2,16.955,53.632184787096,0.328084,0,0,0,0,-0.894776,275.9, -0.6, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,276.2,0,0,96,4.229,4.235,4.239,4.25,0,0,3.478,71.96,53.632184787096,0.328084,11,AutoTakeoff,
2500,2023-05-31 18:52:49,0,0,0.656168,,,53.960268787096,0.328084,0,0,0,21,2,16.955,53.960268787096,0.656168,0,0,0,0,-0.894776,275.8, 0.6, 0.7,0,0,1024,1024,1024,1024,0,0,0,0,276.2,0,0,96,4.229,4.235,4.239,4.25,0,0,3.478,71.96,53.960268787096,0.656168,11,AutoTakeoff,
2700,2023-05-31 18:52:49,0,0,0.656168,,,53.960268787096,0.984252,0,0,0,21,2,16.955,53.960268787096,0.656168,0,0,0,0,-0.894776,275.9, 0.2, 0.3,0,0,1024,1024,1024,1024,0,0,0,0,276.2,0,0,96,4.229,4.235,4.239,4.25,0,0,3.478,71.96,53.960268787096,0.656168,11,AutoTakeoff,
2900,2023-05-31 18:52:50,0,0,0.984252,,,54.288352787096,1.312336,0,0,0,21,2,16.955,54.288352787096,0.984252,0,0,0,0,-0.894776,276, 0, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,276.2,0,0,96,4.229,4.235,4.239,4.25,0,0,3.478,71.96,54.288352787096,0.984252,11,AutoTakeoff,
3100,2023-05-31 18:52:50,0,0,1.312336,,,54.616436787096,1.312336,0,0,0,21,2,17.065,54.616436787096,1.312336,0,0,0,0,-0.894776,275.9, -0.3, 2.8,0,0,1024,1024,1024,1024,0,0,0,0,276.2,0,0,96,4.205,4.206,4.194,4.206,0,0,3.401,72.14,54.616436787096,1.312336,11,AutoTakeoff,
3300,2023-05-31 18:52:50,0,0,1.64042,,,54.944520787096,1.64042,0,0,0,20,2,17.065,54.944520787096,1.64042,0,0,0,0,-1.11847,275.9, -1.8, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,276.2,0,0,96,4.205,4.206,4.194,4.206,0,0,3.401,72.14,54.944520787096,1.64042,11,AutoTakeoff,
3500,2023-05-31 18:52:50,0,0,1.968504,,,55.272604787096,2.296588,0,0,0,21,2,17.065,55.272604787096,1.968504,0,0,0,0,-1.11847,275.8, -2, 1.8,0,0,1024,1024,1024,1024,0,0,0,0,276.2,0,0,96,4.205,4.206,4.194,4.206,0,0,3.401,72.14,55.272604787096,1.968504,11,AutoTakeoff,
3700,2023-05-31 18:52:50,0,0,2.296588,,,55.600688787096,2.624672,0,0,0,21,2,17.065,55.600688787096,2.296588,0,0,0,0,-1.11847,275.5, -2.2, 2.1,0,0,1024,1024,1024,1024,0,0,0,0,276.1,0,0,96,4.205,4.206,4.194,4.206,0,0,3.401,72.14,55.600688787096,2.296588,11,AutoTakeoff,
